Name,Phone Number,Email,Water Bill,Electricity Bill,Rent,Grocery Bill,Maintenance,Food Expenditure,Entertainment Expenditure,EMIs,Other Payments,Loan Repayment,Loans Taken,Water Bill Delay (Days),Electricity Bill Delay (Days),Rent Delay (Days),Grocery Bill Delay (Days),Maintenance Delay (Days),Food Expenditure Delay (Days),Entertainment Expenditure Delay (Days),EMIs Delay (Days),Other Payments Delay (Days),Loan Repayment Delay (Days),Credit Score,Season,Mobile Recharges,Online Purchases,Transaction Count,Average Transaction Amount,Active Contacts,Social App Activity
Robert Iyer,+919026113008,robertiyer81@gmail.com,415.68,3369.85,28297.72,7657.58,2790.42,1749.6,3414.09,4693.58,4507.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0,739,Monsoon,6,16,85,653.77,187,20
Dorothy Malhotra,+916342703921,dorothymalhotra885@yahoo.com,238.25,4054.74,13985.12,3770.52,2370.25,1470.18,3836.63,7028.46,552.28,3016.76,88088.42,4,0,0,4,0,0,0,0,0,0,640,Summer,3,5,99,173.81,97,86
Manoj Chopra,+917947382419,manojchopra660@hotmail.com,261.37,447.34,21684.6,12634.53,4335.86,1486.6,4649.17,6649.65,1084.9,774.17,26062.31,5,0,0,0,0,2,0,0,0,1,546,Monsoon,1,2,68,264.45,113,22
Nisha Williams,+916899825838,nishawilliams696@hotmail.com,236.88,1947.71,39678.74,13138.66,4583.24,969.62,2907.72,6583.32,1005.28,0.0,0.0,0,0,0,0,1,0,0,0,0,0,630,Summer,4,3,52,376.36,137,80
William Reddy,+918294113287,williamreddy756@yahoo.com,743.06,2699.12,84578.65,8301.25,1715.47,5010.74,14007.99,2090.33,2609.47,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Monsoon,4,15,49,1725.34,219,100
Sunita Jones,+917159417075,sunitajones957@outlook.com,190.63,3515.7,44537.02,3311.9,3001.44,2598.24,1529.59,7919.3,1125.01,0.0,0.0,0,0,0,2,0,0,1,0,1,0,742,Monsoon,4,11,98,880.98,165,35
Amanda Smith,+919620021413,amandasmith796@gmail.com,329.65,1556.7,46358.5,5230.5,2136.65,2282.72,17344.17,502.38,3814.77,7113.7,258066.13,0,0,0,0,0,0,0,0,0,0,738,Monsoon,5,9,78,2737.64,193,87
Arjun Smith,+917722989659,arjunsmith284@gmail.com,231.53,2188.1,23720.78,5484.2,4366.36,3001.62,3537.92,13167.95,15512.94,0.0,0.0,0,0,0,0,0,0,0,0,0,0,854,Monsoon,4,17,146,1439.25,162,19
Robert Smith,+916913224047,robertsmith681@example.com,133.69,822.45,52061.08,6869.32,980.7,756.08,5040.1,24198.51,1807.08,0.0,0.0,1,0,0,0,0,0,2,8,1,0,737,Spring,4,5,56,6381.37,117,2
Jessica Martinez,+916613628803,jessicamartinez281@yahoo.com,984.12,444.96,58783.6,15373.18,514.6,1316.78,4784.7,1091.63,946.54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,725,Monsoon,3,9,51,3295.47,108,19
Deborah Thomas,+918314889832,deborahthomas279@outlook.com,78.46,2897.25,16893.98,20378.48,467.93,4128.98,7331.5,3631.6,1106.72,4007.21,135850.31,0,0,0,1,0,0,0,6,0,0,668,Spring,2,8,85,1626.3,244,7
Jennifer Garcia,+917554762903,jennifergarcia234@yahoo.com,305.98,4162.84,46776.94,1421.24,2436.97,2141.22,2224.2,9833.13,487.88,0.0,0.0,0,0,0,0,0,0,0,0,0,0,851,Spring,6,11,79,328.49,180,37
Priya Kumar,+919698408854,priyakumar122@yahoo.com,523.77,3322.48,62380.51,12453.04,4275.87,1686.64,1656.6,7653.33,3493.32,0.0,0.0,0,0,2,0,0,0,0,0,0,0,788,Monsoon,5,5,98,186.58,148,43
Amanda Davis,+918561557300,amandadavis75@example.com,431.41,4390.49,40343.57,15789.89,2136.17,4442.73,64284.3,3842.92,1788.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,854,Spring,9,10,125,1476.93,161,20
William Martinez,+918272528809,williammartinez267@outlook.com,230.44,1631.38,50720.3,5298.25,5615.63,2249.24,2181.9,27411.67,27952.04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,892,Summer,6,11,104,1262.74,245,100
Amanda Jain,+918927923735,amandajain916@outlook.com,622.8,3236.37,62195.77,15825.24,8998.46,2609.91,6394.37,5806.84,11669.51,0.0,0.0,0,0,0,0,0,0,0,0,0,0,792,Winter,9,7,74,598.09,188,91
Dorothy Johnson,+916479112937,dorothyjohnson310@example.com,382.78,5350.86,31902.99,4187.95,11616.89,649.95,877.4,6538.86,1235.14,0.0,0.0,0,0,0,0,0,1,0,0,0,0,694,Monsoon,6,6,89,1108.87,194,56
Sunita Sharma,+919101361778,sunitasharma906@hotmail.com,152.27,2907.57,68313.38,9876.24,1310.36,1722.04,10455.92,2361.19,540.07,0.0,0.0,1,0,0,0,0,0,0,0,0,0,795,Monsoon,6,7,84,1040.89,80,4
David Yadav,+919738848790,davidyadav650@hotmail.com,275.25,1957.03,23586.47,7354.7,1152.7,2921.7,11685.47,2715.87,1407.09,0.0,0.0,0,0,8,2,0,0,0,0,0,0,723,Monsoon,8,3,78,1125.43,196,44
Kavya Brown,+919274958945,kavyabrown175@outlook.com,3027.75,1969.61,20642.64,10445.98,1043.87,2169.24,4029.03,5188.6,8328.18,0.0,0.0,0,0,0,0,0,6,0,0,0,0,693,Summer,8,8,80,752.29,224,11
William Smith,+918098545541,williamsmith29@gmail.com,700.61,579.04,38706.34,2897.69,3541.0,2052.05,6281.96,10179.37,550.79,0.0,0.0,0,9,0,0,0,0,0,0,0,0,734,Winter,5,10,100,848.59,209,15
Divya Tiwari,+916248786714,divyatiwari256@outlook.com,188.92,2248.23,37187.3,9016.97,2492.72,3177.48,1038.02,86872.56,876.7,0.0,0.0,0,0,2,0,2,0,0,3,0,0,742,Summer,8,8,94,781.34,190,86
Priya Lopez,+919504793184,priyalopez80@outlook.com,1007.98,3314.95,43238.07,2125.89,1395.44,3280.36,12263.69,10180.3,5794.16,0.0,0.0,0,1,0,0,0,0,0,0,0,0,784,Monsoon,5,7,119,202.01,297,63
Vikram Hernandez,+918361388464,vikramhernandez179@hotmail.com,539.82,4136.01,54916.39,8801.53,3371.3,1768.49,3940.92,3975.02,379.51,0.0,0.0,0,0,0,0,0,0,0,0,0,0,823,Spring,6,11,91,296.89,274,84
Pooja Anderson,+919243839315,poojaanderson757@yahoo.com,537.45,3408.55,23939.95,11243.6,1721.04,4805.36,3161.27,5645.85,937.82,0.0,0.0,0,3,0,0,3,0,0,0,0,0,722,Winter,8,6,73,355.65,137,2
Preeti Brown,+917881625505,preetibrown931@outlook.com,139.46,1929.58,22411.18,9202.66,5267.69,1495.34,8511.21,30480.41,471.51,0.0,0.0,0,0,0,0,0,3,0,5,3,0,628,Spring,7,8,52,456.23,172,63
Sneha Tiwari,+916965067727,snehatiwari75@hotmail.com,719.62,1543.44,19280.67,1995.34,4646.4,945.15,1116.22,7741.75,57474.4,5317.58,120697.72,0,0,2,0,0,0,0,0,0,0,821,Summer,9,7,93,952.11,213,155
Jennifer Thomas,+916988335251,jenniferthomas612@yahoo.com,138.53,303.48,33011.15,6290.01,1099.25,1758.74,1567.96,1214.49,2702.85,0.0,0.0,0,0,29,6,0,0,1,6,3,0,570,Summer,7,8,60,79.48,117,25
Akash Kumar,+916983297492,akashkumar79@gmail.com,145.3,2334.38,13652.58,29428.92,1142.01,1719.88,21173.8,2105.44,172.13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,789,Winter,9,6,81,653.15,190,3
Akash Gonzalez,+917022222125,akashgonzalez295@example.com,772.03,1120.38,16523.07,9623.46,6262.74,1140.4,4105.52,5321.5,913.11,7662.14,219002.44,0,0,0,0,0,0,13,0,0,0,670,Monsoon,8,7,65,949.47,202,12
James Patel,+919106775595,jamespatel967@outlook.com,393.71,3887.15,24010.76,16100.01,2619.82,2969.21,14142.49,1740.43,4909.29,0.0,0.0,0,0,0,2,0,0,0,0,0,0,780,Spring,9,5,115,616.86,193,58
Meera Hernandez,+919468173213,meerahernandez426@yahoo.com,95.56,2399.96,54481.33,3581.1,2009.58,1373.69,2673.02,6734.63,1589.7,0.0,0.0,1,0,0,0,0,0,0,0,0,0,610,Summer,2,7,84,2321.88,251,29
Rohit Davis,+917521696479,rohitdavis443@example.com,788.88,1864.21,61046.44,7824.96,9763.43,3924.55,4807.95,15216.68,7433.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Spring,9,7,102,242.43,216,15
Christopher Kumar,+918892078691,christopherkumar679@gmail.com,685.15,1971.01,28643.87,8629.6,2355.36,3780.33,2501.91,4319.2,3149.3,0.0,0.0,0,0,0,2,3,0,0,0,0,0,735,Summer,6,4,78,117.2,216,17
Preeti Johnson,+919438518641,preetijohnson892@gmail.com,338.8,3558.16,37637.82,6332.61,1793.16,2940.46,3165.28,1604.78,5246.19,0.0,0.0,0,0,0,0,0,0,0,0,0,0,775,Monsoon,5,9,101,4453.98,180,71
Amit Iyer,+918303329764,amitiyer469@yahoo.com,164.55,1969.84,23635.86,9206.48,1423.73,1112.96,17531.15,1888.8,383.03,4812.47,106510.09,0,2,0,0,0,0,0,0,0,3,677,Spring,8,11,70,496.94,177,6
Neha Chopra,+917986972437,nehachopra265@gmail.com,1754.25,1311.93,38162.93,19505.34,2923.85,2419.21,3000.88,8121.88,2326.15,0.0,0.0,1,0,0,0,1,0,0,0,0,0,826,Spring,9,9,113,2035.35,166,29
Lisa Yadav,+916217275224,lisayadav677@outlook.com,342.62,2840.26,23652.31,15383.5,1150.72,1322.07,11233.26,2824.67,6489.44,0.0,0.0,0,0,0,0,0,0,0,0,0,0,754,Summer,7,7,94,973.2,211,14
Priya Tiwari,+916714300770,priyatiwari426@example.com,337.01,2574.76,52104.27,4342.1,4456.29,1250.67,8801.9,2260.76,776.95,0.0,0.0,2,0,0,0,0,0,7,0,0,0,706,Spring,4,6,85,1034.16,225,4
Pooja Garcia,+919875962612,poojagarcia70@yahoo.com,516.08,2861.59,63463.23,1120.49,5509.66,1277.86,1548.65,9116.51,15691.04,18749.78,531874.01,0,0,0,0,0,0,0,0,0,0,848,Spring,5,6,73,281.92,229,10
Aarav Jones,+917139038460,aaravjones958@example.com,299.15,4213.83,25651.47,9050.55,24204.77,2042.33,5728.9,2065.11,1926.13,0.0,0.0,1,0,0,0,0,0,0,0,0,0,730,Winter,8,4,71,1063.89,129,19
Rashmi Thomas,+918842715617,rashmithomas745@example.com,182.24,881.75,25331.48,5092.06,1593.95,799.68,5264.71,4448.52,388.12,0.0,0.0,6,0,0,0,0,14,4,0,0,0,529,Monsoon,3,7,97,225.72,184,11
Amit Malhotra,+916935018220,amitmalhotra69@outlook.com,928.72,2992.62,43437.28,1795.84,1549.88,536.82,19145.25,21733.39,6120.77,0.0,0.0,0,1,6,0,0,0,0,0,1,0,723,Summer,8,5,83,596.49,157,14
Deborah Smith,+916245522987,deborahsmith61@outlook.com,340.6,3111.48,45490.25,14805.43,996.99,823.61,13883.08,767.67,4085.79,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Spring,7,11,76,373.09,224,25
David Wilson,+916676168421,davidwilson68@outlook.com,193.44,901.81,39329.5,7962.49,11506.61,1342.19,8920.46,2387.3,7182.17,3915.7,133476.45,0,0,0,0,0,0,0,0,0,0,747,Summer,9,9,86,3963.04,162,54
Neha Gupta,+918555656321,nehagupta79@yahoo.com,379.95,1131.61,16154.72,3870.43,4968.54,2660.48,9698.09,8333.94,3994.03,5636.25,138289.4,0,0,0,0,2,1,0,1,6,0,673,Spring,4,5,69,335.61,123,12
Sneha Taylor,+917057486868,snehataylor602@outlook.com,290.9,2141.65,13933.92,11411.66,1166.63,1927.54,10118.47,20852.43,612.53,0.0,0.0,0,0,0,0,0,1,0,0,0,0,833,Summer,7,5,81,934.81,236,3
Ashley Agarwal,+917800557283,ashleyagarwal683@outlook.com,510.33,1158.28,22501.31,4680.16,813.15,883.08,3793.82,9165.25,2769.03,0.0,0.0,0,0,0,4,0,0,0,0,0,0,647,Winter,9,6,82,233.07,86,2
Karan Mishra,+918876451163,karanmishra743@hotmail.com,918.54,2583.38,38754.39,9682.41,1054.42,2934.45,6038.67,8402.88,637.9,0.0,0.0,0,3,0,0,0,0,0,7,0,0,705,Monsoon,2,5,79,94.61,206,36
Karan Garcia,+916562117925,karangarcia697@hotmail.com,204.41,1310.03,26627.08,6835.97,710.14,2217.49,8188.79,5526.71,2261.98,0.0,0.0,9,0,2,2,0,0,3,2,0,0,509,Spring,5,3,67,311.39,94,20
Ravi Gupta,+916040009587,ravigupta479@outlook.com,1128.44,2234.89,38542.38,2686.62,1670.46,1305.44,5087.47,16301.51,4777.25,0.0,0.0,4,0,0,0,0,0,0,0,0,0,732,Summer,4,8,102,495.37,281,23
Akash Anderson,+916915490795,akashanderson528@hotmail.com,73.17,1439.43,22735.71,7674.57,566.96,1651.27,30121.04,797.53,1999.72,1023.31,58128.67,0,0,0,0,0,0,0,3,0,5,561,Monsoon,5,1,46,1007.88,187,43
Deepak Gupta,+919776436931,deepakgupta260@hotmail.com,254.15,1257.92,33024.73,4456.27,1387.22,1928.25,3268.65,897.6,460.23,1279.43,27375.17,0,0,0,0,0,0,0,0,0,8,705,Winter,3,6,94,6427.55,127,17
Raj Rodriguez,+919580907314,rajrodriguez566@hotmail.com,296.5,4430.77,36037.04,21368.74,1001.06,1874.48,2599.76,7845.33,8724.28,0.0,0.0,0,0,0,0,0,0,0,0,0,0,846,Summer,6,2,87,1628.69,63,2
Joseph Thomas,+917285821930,josephthomas964@gmail.com,109.71,2904.9,17496.09,9158.06,3423.33,508.29,3132.36,12471.17,614.2,3147.49,68308.49,0,0,0,0,0,0,3,0,6,0,641,Monsoon,4,10,55,854.56,181,48
Karan Jain,+919821286999,karanjain119@outlook.com,495.92,1546.22,43829.47,2532.94,991.07,2981.16,15110.63,8145.98,2582.56,0.0,0.0,0,4,0,0,5,3,0,0,0,0,708,Monsoon,8,7,91,1499.71,135,39
Riya Malhotra,+918597724331,riyamalhotra225@hotmail.com,889.52,2915.74,31380.3,8034.69,753.59,2359.77,3096.3,1370.69,469.48,0.0,0.0,0,1,0,0,0,0,0,0,0,0,827,Monsoon,6,7,116,3077.91,157,56
Amanda Joshi,+918170715377,amandajoshi510@hotmail.com,109.61,694.13,20484.63,4832.05,644.62,725.93,1995.08,3883.81,1756.86,0.0,0.0,0,0,0,0,0,0,0,0,6,0,565,Summer,7,8,72,510.76,127,105
Priya Davis,+919562022940,priyadavis293@gmail.com,589.15,1449.17,38658.56,2598.39,2106.22,1181.55,6333.17,2307.54,1475.1,0.0,0.0,0,0,4,0,0,6,1,0,0,0,588,Summer,1,3,90,2548.36,132,32
Sonia Patel,+918736381108,soniapatel278@yahoo.com,341.78,2814.27,41648.87,6496.17,4656.86,2063.17,2076.22,10002.0,6512.57,0.0,0.0,1,0,0,0,0,0,0,0,0,0,692,Spring,8,4,68,769.64,204,4
Lisa Davis,+918409076656,lisadavis19@gmail.com,205.7,5362.12,18627.86,11699.54,2239.91,1412.45,14150.38,6541.05,5008.89,0.0,0.0,0,0,0,0,0,0,0,0,0,0,748,Summer,8,11,106,376.41,201,50
Thomas Shah,+918343292475,thomasshah46@hotmail.com,228.11,3832.9,52989.09,2631.21,2755.39,1032.91,2095.59,3483.0,1606.67,0.0,0.0,0,0,1,0,10,0,0,0,0,0,708,Monsoon,8,4,64,1321.86,210,9
Rashmi Patel,+916179653598,rashmipatel325@hotmail.com,34.59,2558.32,33361.45,3771.46,13740.05,2882.6,2500.07,10351.75,10762.07,4798.05,109712.3,0,0,0,0,5,0,0,1,0,0,727,Summer,4,6,63,464.23,108,2
Deepak Mishra,+918929454134,deepakmishra265@gmail.com,151.57,483.72,46507.24,13254.88,3719.07,680.09,4453.99,3441.65,3698.85,0.0,0.0,7,0,0,0,0,0,5,0,0,0,603,Winter,7,7,88,279.54,111,8
Dorothy Thomas,+919797329628,dorothythomas905@example.com,300.42,1104.51,38620.35,8565.97,2148.55,3729.8,5413.22,16254.78,6050.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,835,Monsoon,7,5,87,1371.71,162,51
Meera Reddy,+919435488617,meerareddy840@yahoo.com,531.31,1902.26,29866.12,11166.14,3705.08,2042.07,10739.64,1017.2,6365.59,8041.28,161131.33,0,1,0,0,0,0,0,0,0,3,757,Spring,8,12,110,1301.77,210,2
Aditi Nair,+919163520297,aditinair956@hotmail.com,1752.49,2002.23,23766.0,22184.92,16424.71,2013.61,21432.87,22556.93,1345.24,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Spring,11,11,90,522.97,192,46
Joseph Tiwari,+917145921803,josephtiwari173@gmail.com,427.48,2800.24,20680.63,10684.15,1415.93,1655.14,11959.77,3619.19,3403.44,1081.8,85311.39,0,0,0,0,2,1,2,0,0,0,637,Spring,7,4,68,1136.57,128,5
Arjun Hernandez,+916955345537,arjunhernandez214@example.com,252.15,799.01,35377.68,18954.41,3966.74,2156.15,3050.28,1680.39,3036.65,0.0,0.0,0,0,0,0,0,0,0,0,0,0,838,Winter,12,11,132,3411.81,300,12
Divya Pandey,+916957449367,divyapandey34@yahoo.com,55.94,3714.44,22021.06,8619.1,975.76,1951.24,2997.21,2220.21,4172.13,0.0,0.0,0,0,0,1,0,0,2,0,0,0,734,Spring,5,1,77,1031.38,191,41
Sonia Chopra,+919712367625,soniachopra81@hotmail.com,403.85,591.18,24402.88,5981.43,1230.41,873.44,3432.82,5554.32,1770.82,0.0,0.0,0,0,2,0,0,0,0,0,0,0,686,Winter,2,7,40,3023.28,150,0
Jessica Gonzalez,+917716605598,jessicagonzalez705@outlook.com,91.67,1958.32,40782.05,3675.77,1523.68,1252.61,21861.9,3013.11,14871.93,0.0,0.0,0,0,0,0,0,0,0,0,0,0,779,Winter,3,14,77,1907.88,231,42
Aditi Jain,+919766851291,aditijain277@yahoo.com,234.05,777.04,26961.9,12335.2,1763.33,2260.8,5305.8,5771.9,563.52,0.0,0.0,0,0,0,0,0,0,0,0,0,0,690,Winter,4,10,71,328.3,226,5
Arjun Yadav,+918562254028,arjunyadav454@hotmail.com,354.77,6097.42,32995.42,1758.44,5043.22,609.81,2250.04,3511.83,2787.23,1046.54,44049.48,0,0,0,0,0,0,0,0,0,5,724,Winter,4,5,93,4241.33,83,114
Rashmi Jackson,+918196545325,rashmijackson128@example.com,71.64,1453.43,30138.65,26659.53,4750.55,809.67,11785.41,1095.17,10350.77,1970.17,67717.52,0,0,0,0,0,0,0,0,0,0,808,Monsoon,9,8,73,759.47,215,49
Karan Singh,+919044209616,karansingh456@gmail.com,262.62,1580.8,11916.6,15062.81,3963.56,2209.29,1751.42,19066.96,1494.48,0.0,0.0,0,0,0,1,0,0,1,4,0,0,766,Monsoon,10,13,83,811.26,238,31
Nisha Davis,+916300535210,nishadavis981@hotmail.com,81.24,2150.97,35821.46,20645.58,1770.65,3999.31,2668.69,20069.8,1623.29,0.0,0.0,0,1,0,0,3,0,0,0,0,0,817,Winter,7,5,85,603.81,156,1
Joseph Jain,+919091320992,josephjain931@hotmail.com,65.46,4914.08,35873.36,4909.16,2573.08,1613.78,1441.88,20431.51,2607.18,0.0,0.0,0,0,0,0,0,1,0,0,0,0,739,Winter,5,5,95,174.71,139,21
Joseph Miller,+917400944900,josephmiller422@hotmail.com,278.76,4188.16,35711.7,3676.7,3317.09,1061.44,2995.83,1152.4,234.48,0.0,0.0,0,0,0,4,9,0,0,2,5,0,626,Monsoon,7,7,98,830.34,140,35
Amit Miller,+918855850145,amitmiller972@example.com,67.77,553.43,40593.01,1375.33,1532.29,1646.7,5844.08,4856.03,2123.89,2924.01,274606.01,0,12,0,1,0,11,0,0,0,0,567,Monsoon,7,6,93,816.06,130,88
Ashley Taylor,+917292569882,ashleytaylor425@outlook.com,157.21,481.26,16033.43,18685.68,698.82,1346.91,11458.4,837.24,1851.1,0.0,0.0,0,0,0,15,0,7,4,0,0,0,539,Summer,5,5,88,289.51,198,34
Divya Malhotra,+916902727745,divyamalhotra450@outlook.com,397.58,1056.08,32216.05,14706.42,1185.61,984.27,6141.71,834.76,626.31,0.0,0.0,0,0,0,0,0,4,0,0,0,0,553,Winter,2,4,96,803.4,81,16
Sunita Rodriguez,+917899061865,sunitarodriguez701@yahoo.com,687.56,3841.05,20938.76,4351.61,1137.75,1744.74,27459.84,7650.54,6929.6,5705.41,190190.73,0,0,0,0,0,0,0,0,0,2,642,Spring,3,6,117,701.21,115,35
Deborah Reddy,+918829742424,deborahreddy96@hotmail.com,934.14,2730.38,62619.57,2247.56,793.92,1310.77,9075.74,22813.95,4660.92,0.0,0.0,0,6,0,0,0,0,0,0,0,0,642,Winter,6,7,73,169.46,89,39
Priya Tiwari,+918889635392,priyatiwari327@yahoo.com,196.77,3007.85,52098.77,43530.26,2214.2,683.63,32981.62,2563.04,2124.74,0.0,0.0,0,0,0,0,0,0,0,0,0,0,900,Monsoon,6,6,84,1145.4,260,4
Kavya Verma,+916198486416,kavyaverma260@example.com,1962.0,1848.12,46170.16,10273.71,3432.64,1644.6,10832.25,391.74,6101.52,0.0,0.0,0,0,0,7,3,0,1,0,0,0,782,Summer,5,13,92,295.69,205,43
Sunita Miller,+919805929053,sunitamiller654@outlook.com,320.17,2042.62,22327.73,6158.38,8135.52,2104.67,1984.47,3232.43,720.79,0.0,0.0,1,0,2,0,0,0,0,3,0,0,621,Monsoon,6,4,67,578.1,148,4
Melissa Jones,+918123333781,melissajones419@yahoo.com,81.63,2402.01,40684.99,7199.62,2123.77,902.29,3379.41,5097.42,655.42,0.0,0.0,0,1,0,0,0,0,0,0,0,0,742,Monsoon,5,9,122,242.37,88,161
Jessica Sharma,+919833944737,jessicasharma778@gmail.com,212.9,5015.08,23718.52,23352.49,743.7,2318.26,11534.37,2292.21,4630.05,0.0,0.0,0,0,0,0,1,0,0,0,0,0,800,Spring,9,6,115,538.31,102,53
Suresh Nair,+919453625530,sureshnair990@outlook.com,973.17,2884.9,51504.43,19513.23,1225.94,1733.45,4614.98,1047.53,4167.86,0.0,0.0,1,0,0,1,0,0,0,1,0,0,793,Spring,4,12,141,1335.97,90,39
Ananya Thomas,+917070298438,ananyathomas949@gmail.com,137.99,2830.52,21135.54,4832.01,1639.21,4226.86,6037.57,17166.26,6769.99,2951.8,90591.55,0,0,0,0,0,0,0,0,0,0,900,Spring,8,9,119,1025.25,205,136
Vikram Martinez,+918867224513,vikrammartinez553@outlook.com,198.02,4043.61,65356.74,6976.33,4488.17,2387.5,3856.02,9340.34,21252.81,0.0,0.0,0,0,0,0,0,0,0,0,0,0,850,Winter,10,10,102,1055.99,135,32
Daniel Rodriguez,+918631321682,danielrodriguez844@outlook.com,404.79,9921.89,32896.85,4590.74,4457.99,2350.56,24356.82,1613.56,7564.05,3564.73,158314.31,0,0,0,0,0,0,0,0,0,0,873,Spring,8,14,99,1124.19,126,13
Lisa Rodriguez,+919853479481,lisarodriguez172@example.com,302.29,3005.67,29094.45,18771.2,4393.33,1895.72,2153.98,1426.81,4102.14,0.0,0.0,0,0,0,4,0,1,0,0,0,0,829,Spring,9,8,51,1348.49,222,8
Karan Tiwari,+919607183629,karantiwari662@hotmail.com,364.89,1297.31,32993.73,1502.83,3388.39,4115.25,1942.77,2745.39,3998.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,782,Spring,6,9,61,573.31,154,77
Richard Tiwari,+917179387055,richardtiwari460@gmail.com,186.09,1629.44,15950.48,10403.24,745.43,911.19,1251.59,5058.01,2542.83,0.0,0.0,0,0,0,0,0,0,0,0,0,0,853,Winter,6,12,89,462.93,217,17
Meera Chopra,+917442454200,meerachopra337@outlook.com,369.62,4331.46,76949.52,8766.85,1304.41,1749.43,4391.28,3537.83,2903.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,895,Summer,10,9,93,757.24,160,51
Vikram Shah,+916993260504,vikramshah402@yahoo.com,956.44,3207.12,53999.02,4191.24,2119.63,611.74,3637.4,6273.73,9589.16,0.0,0.0,0,0,3,2,0,0,10,2,1,0,648,Monsoon,8,6,56,1534.87,170,1
Akash Miller,+917750625978,akashmiller348@outlook.com,77.84,3418.36,22495.12,5824.36,5084.42,1937.23,6114.07,2514.29,74.39,0.0,0.0,0,0,0,0,0,0,0,0,0,0,726,Spring,7,9,83,3048.54,126,94
Sanjay Kumar,+916888346940,sanjaykumar862@example.com,883.81,1693.2,21603.59,1461.17,1421.43,896.06,9739.78,4047.5,303.05,3853.37,113301.03,0,0,0,0,7,15,2,0,0,0,491,Spring,4,4,72,2369.22,73,7
Dorothy Moore,+918987248494,dorothymoore30@outlook.com,303.66,2093.4,64395.22,8045.6,1681.07,5566.45,7883.75,10992.18,1345.87,0.0,0.0,0,0,0,0,0,0,0,0,0,0,802,Spring,9,7,99,183.07,221,121
